entry,at,order
"The player ""Betch @ YeMPDpoUiL"" quits the game with a stack of 0.",2020-07-22T23:53:46.508Z,159546202650826
"-- ending hand #69 --",2020-07-22T23:53:39.945Z,159546201994674
"""Cole Ste @ gO7Gvhk4ER"" collected 850 from pot with Full House, 9's over K's (hand: Kc, 9s)",2020-07-22T23:53:39.945Z,159546201994667
"river: Qd, Qs, 9h, Kd [9c]",2020-07-22T23:53:36.922Z,159546201692533
"""Betch @ YeMPDpoUiL"" shows a 3c, Ad.",2020-07-22T23:53:33.874Z,159546201387562
"""Cole Ste @ gO7Gvhk4ER"" shows a Kc, 9s.",2020-07-22T23:53:33.874Z,159546201387561
"turn: Qd, Qs, 9h [Kd]",2020-07-22T23:53:33.874Z,159546201387555
"""Cole Ste @ gO7Gvhk4ER"" calls 315",2020-07-22T23:53:32.949Z,159546201295044
"""Betch @ YeMPDpoUiL"" bets 315 and go all in",2020-07-22T23:53:13.030Z,159546199303111
"flop:  [Qd, Qs, 9h]",2020-07-22T23:53:05.695Z,159546198569651
"""Cole Ste @ gO7Gvhk4ER"" calls 110",2020-07-22T23:53:04.775Z,159546198477656
"""Betch @ YeMPDpoUiL"" raises to 110",2020-07-22T23:52:41.651Z,159546196165478
"""Cole Ste @ gO7Gvhk4ER"" raises to 30",2020-07-22T23:52:38.182Z,159546195818376
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:52:24.010Z,159546194401213
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:52:24.010Z,159546194401212
"Your hand is Kc, 9s",2020-07-22T23:52:24.010Z,159546194401207
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2575) | #6 ""Betch @ YeMPDpoUiL"" (425)",2020-07-22T23:52:24.010Z,159546194401205
"-- starting hand #69  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:52:24.010Z,159546194401199
"-- ending hand #68 --",2020-07-22T23:52:20.467Z,159546194046763
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:52:20.467Z,159546194046761
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:52:20.467Z,159546194046755
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:52:19.037Z,159546193903736
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:52:17.550Z,159546193755176
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:52:17.550Z,159546193755175
"Your hand is Kd, 8c",2020-07-22T23:52:17.550Z,159546193755169
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2570) | #6 ""Betch @ YeMPDpoUiL"" (430)",2020-07-22T23:52:17.550Z,159546193755167
"-- starting hand #68  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:52:17.550Z,159546193755161
"-- ending hand #67 --",2020-07-22T23:52:14.032Z,159546193403257
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:52:14.032Z,159546193403256
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:52:14.032Z,159546193403250
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:52:12.620Z,159546193262064
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:52:09.454Z,159546192945602
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:52:09.454Z,159546192945600
"Your hand is Jc, 6s",2020-07-22T23:52:09.454Z,159546192945595
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2575) | #6 ""Betch @ YeMPDpoUiL"" (425)",2020-07-22T23:52:09.454Z,159546192945593
"-- starting hand #67  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:52:09.454Z,159546192945586
"""Betch @ YeMPDpoUiL"" shows a 6s, 5h.",2020-07-22T23:52:07.330Z,159546192733072
"""Cole Ste @ gO7Gvhk4ER"" shows a 10s, Qs.",2020-07-22T23:52:05.828Z,159546192582880
"-- ending hand #66 --",2020-07-22T23:52:03.946Z,159546192394766
"""Cole Ste @ gO7Gvhk4ER"" collected 60 from pot",2020-07-22T23:52:03.946Z,159546192394758
"Uncalled bet of 80 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:52:03.946Z,159546192394752
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:52:02.533Z,159546192253470
"""Cole Ste @ gO7Gvhk4ER"" raises to 110",2020-07-22T23:51:58.475Z,159546191848456
"""Betch @ YeMPDpoUiL"" raises to 30",2020-07-22T23:51:41.833Z,159546190183897
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:51:37.369Z,159546189737039
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:51:37.369Z,159546189737038
"Your hand is 10s, Qs",2020-07-22T23:51:37.369Z,159546189737033
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2545) | #6 ""Betch @ YeMPDpoUiL"" (455)",2020-07-22T23:51:37.369Z,159546189737032
"-- starting hand #66  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:51:37.369Z,159546189737026
"""Betch @ YeMPDpoUiL"" shows a Ad, Qs.",2020-07-22T23:51:35.086Z,159546189508700
"-- ending hand #65 --",2020-07-22T23:51:32.832Z,159546189283211
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:51:32.832Z,159546189283209
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:51:32.832Z,159546189283204
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:51:31.416Z,159546189141655
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:51:17.441Z,159546187744270
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:51:17.441Z,159546187744268
"Your hand is 2c, 10s",2020-07-22T23:51:17.441Z,159546187744264
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2550) | #6 ""Betch @ YeMPDpoUiL"" (450)",2020-07-22T23:51:17.441Z,159546187744262
"-- starting hand #65  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:51:17.441Z,159546187744256
"-- ending hand #64 --",2020-07-22T23:51:13.918Z,159546187391965
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:51:13.918Z,159546187391963
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:51:13.918Z,159546187391957
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:51:12.508Z,159546187250840
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:51:09.902Z,159546186990407
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:51:09.902Z,159546186990405
"Your hand is 9s, Jc",2020-07-22T23:51:09.902Z,159546186990399
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2545) | #6 ""Betch @ YeMPDpoUiL"" (455)",2020-07-22T23:51:09.902Z,159546186990398
"-- starting hand #64  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:51:09.902Z,159546186990392
"-- ending hand #63 --",2020-07-22T23:51:06.361Z,159546186636268
"""Cole Ste @ gO7Gvhk4ER"" collected 20 from pot",2020-07-22T23:51:06.361Z,159546186636266
"Uncalled bet of 10 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:51:06.361Z,159546186636260
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:51:04.945Z,159546186494617
"""Cole Ste @ gO7Gvhk4ER"" bets 10",2020-07-22T23:51:02.164Z,159546186216381
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:50:59.875Z,159546185987532
"turn: Js, Jh, 9d [10c]",2020-07-22T23:50:57.722Z,159546185772245
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:50:56.816Z,159546185681620
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:50:54.030Z,159546185403008
"flop:  [Js, Jh, 9d]",2020-07-22T23:50:50.504Z,159546185050510
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:50:49.593Z,159546184959368
"""Cole Ste @ gO7Gvhk4ER"" calls 10",2020-07-22T23:50:45.616Z,159546184561606
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:50:37.069Z,159546183707067
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:50:37.069Z,159546183707066
"Your hand is 8c, 5c",2020-07-22T23:50:37.069Z,159546183707061
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2535) | #6 ""Betch @ YeMPDpoUiL"" (465)",2020-07-22T23:50:37.069Z,159546183707059
"-- starting hand #63  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:50:37.069Z,159546183707054
"""Cole Ste @ gO7Gvhk4ER"" shows a 4d, 7c.",2020-07-22T23:50:34.996Z,159546183499622
"""Betch @ YeMPDpoUiL"" shows a 5c, Qd.",2020-07-22T23:50:33.466Z,159546183346611
"-- ending hand #62 --",2020-07-22T23:50:31.520Z,159546183152035
"""Betch @ YeMPDpoUiL"" collected 20 from pot",2020-07-22T23:50:31.520Z,159546183152033
"Uncalled bet of 20 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:50:31.520Z,159546183152027
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:50:30.105Z,159546183010522
"""Betch @ YeMPDpoUiL"" raises to 30",2020-07-22T23:50:22.932Z,159546182293677
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:50:18.309Z,159546181831088
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:50:18.309Z,159546181831086
"Your hand is 4d, 7c",2020-07-22T23:50:18.309Z,159546181831080
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2545) | #6 ""Betch @ YeMPDpoUiL"" (455)",2020-07-22T23:50:18.309Z,159546181831078
"-- starting hand #62  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:50:18.309Z,159546181831072
"""Cole Ste @ gO7Gvhk4ER"" shows a Qh, Ad.",2020-07-22T23:50:12.961Z,159546181296434
"-- ending hand #61 --",2020-07-22T23:50:10.765Z,159546181076655
"""Betch @ YeMPDpoUiL"" collected 120 from pot with Pair, 5's (hand: Qs, 5d)",2020-07-22T23:50:10.765Z,159546181076650
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:50:09.859Z,159546180985918
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:50:08.358Z,159546180836412
"river: Kc, 6h, 5h, 3c [7s]",2020-07-22T23:50:05.235Z,159546180523852
"""Cole Ste @ gO7Gvhk4ER"" calls 30",2020-07-22T23:50:04.324Z,159546180432444
"""Betch @ YeMPDpoUiL"" bets 30",2020-07-22T23:50:00.493Z,159546180050546
"turn: Kc, 6h, 5h [3c]",2020-07-22T23:49:54.712Z,159546179473504
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:49:53.783Z,159546179378409
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:49:52.162Z,159546179216236
"flop:  [Kc, 6h, 5h]",2020-07-22T23:49:45.578Z,159546178557837
"""Betch @ YeMPDpoUiL"" calls 30",2020-07-22T23:49:44.668Z,159546178466834
"""Cole Ste @ gO7Gvhk4ER"" raises to 30",2020-07-22T23:49:42.775Z,159546178277643
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:49:39.164Z,159546177916555
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:49:39.164Z,159546177916554
"Your hand is Qh, Ad",2020-07-22T23:49:39.164Z,159546177916549
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2605) | #6 ""Betch @ YeMPDpoUiL"" (395)",2020-07-22T23:49:39.164Z,159546177916548
"-- starting hand #61  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:49:39.164Z,159546177916541
"-- ending hand #60 --",2020-07-22T23:49:35.637Z,159546177563801
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:49:35.637Z,159546177563800
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:49:35.637Z,159546177563794
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:49:34.224Z,159546177422432
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:49:28.340Z,159546176834116
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:49:28.340Z,159546176834114
"Your hand is 3s, 9h",2020-07-22T23:49:28.340Z,159546176834108
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (2600) | #6 ""Betch @ YeMPDpoUiL"" (400)",2020-07-22T23:49:28.340Z,159546176834106
"-- starting hand #60  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:49:28.340Z,159546176834100
"""Betch @ YeMPDpoUiL"" shows a Ks, 3s.",2020-07-22T23:49:24.850Z,159546176485054
"""Cole Ste @ gO7Gvhk4ER"" shows a 2h, 9c.",2020-07-22T23:49:23.956Z,159546176395609
"-- ending hand #59 --",2020-07-22T23:49:22.810Z,159546176281676
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:49:22.810Z,159546176281674
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:49:22.810Z,159546176281668
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:49:21.388Z,159546176138832
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:49:20.328Z,159546176033722
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:49:20.328Z,159546176033721
